Real_Time,Temp_C,Cond_uScm-1,CellVoltage,StateofCharge,ErrorCode
Real_Time,Temp_C,Cond_uScm-1,CellVoltage,StateofCharge,ErrorCode
946684805,23.59,0.00,0.92,0.00,0
946684822,23.59,0.00,0.06,0.00,0
946684843,23.60,0.00,0.05,0.00,0
946684863,24.07,0.00,0.05,0.00,0
946684883,25.93,0.00,0.05,0.00,0
946684902,31.07,0.00,0.05,0.00,0
946684922,29.95,0.00,0.05,0.00,0
946684943,26.60,0.00,0.05,0.00,0
946684963,24.51,0.00,0.05,0.00,0
946684983,23.61,0.00,0.05,0.00,0
946685002,22.99,0.00,0.05,0.00,0
946685022,22.53,0.00,0.05,0.00,0
946685043,22.25,0.00,0.05,0.00,0
946685063,22.07,0.00,0.05,0.00,0
946685082,22.05,0.00,0.05,0.00,0
946685102,22.04,0.00,0.05,0.00,0
946685122,22.03,0.00,0.05,0.00,0
946685143,22.03,0.00,0.05,0.00,0
946685163,22.04,0.00,0.05,0.00,0
946685183,22.06,0.00,0.05,0.00,0
946685202,22.08,0.00,0.05,0.00,0
946685222,22.29,0.00,0.05,0.00,0
946685243,22.45,0.00,0.05,0.00,0
946685263,25.90,0.00,0.05,0.00,0
946685283,24.61,0.00,0.05,0.00,0
946685302,23.22,0.00,0.05,0.00,0
946685322,22.09,0.00,0.05,0.00,0
946685343,25.87,0.00,0.05,0.00,0
946685363,26.89,0.00,0.05,0.00,0
Real_Time,Temp_C,Cond_uScm-1,CellVoltage,StateofCharge,ErrorCode
946684805,23.19,0.00,0.69,0.04,0
Real_Time,Temp_C,Cond_uScm-1,CellVoltage,StateofCharge,ErrorCode
946684805,23.36,0.00,0.74,0.00,0
946684822,23.37,0.00,0.05,0.00,0
946684843,23.50,0.00,0.05,0.00,0
946684863,23.51,0.00,0.05,0.00,0
946684883,23.54,0.00,0.05,0.00,0
946684902,23.73,0.00,0.05,0.00,0
946684922,23.87,0.00,0.05,0.00,0
946684943,24.34,0.00,0.05,0.00,0
946684963,23.35,0.00,0.05,0.00,0
946684983,22.15,0.00,0.05,0.00,0
946685002,23.80,0.00,0.05,0.00,0
946685022,22.81,0.00,0.05,0.00,0
946685043,22.05,0.00,0.05,0.00,0
946685063,21.37,0.00,0.05,0.00,0
946685082,20.91,0.00,0.05,0.00,0
946685102,20.56,0.00,0.05,0.00,0
946685122,20.43,0.00,0.05,0.00,0
946685142,20.43,0.00,0.05,0.00,0
946685163,20.41,0.00,0.05,0.00,0
946685183,20.39,0.00,0.05,0.00,0
946685202,20.39,0.00,0.05,0.00,0
Real_Time,Temp_C,Cond_uScm-1,CellVoltage,StateofCharge,ErrorCode
946684805,22.21,0.00,0.70,0.09,0
946684823,22.23,0.00,0.05,0.02,0
946684843,22.37,0.00,0.05,0.00,0
946684862,22.37,0.00,0.05,0.00,0
946684882,22.38,0.00,0.05,0.00,0
946684902,22.39,95.39,0.05,0.00,0
946684923,22.41,0.00,0.05,0.00,0
946684943,22.43,0.00,0.05,0.00,0
946684962,22.64,0.00,0.05,0.00,0
946684982,24.10,0.00,0.05,0.00,0
946685002,26.46,0.00,0.05,0.00,0
946685023,26.48,0.00,0.05,0.00,0
